Distrito;NACE1;NACE2;Numero_Empregados;Num_anos_disponiveis_base;Variacao_das_vendas;Variacao_resultado_operacional;Variacao_do_activo;Variacao_dos_capitais_proprios;Variacao_do_ativo_circulante;Variacao_das_existencias;Variacao_do_imobilizado;Fundo_de_maneio;REPV;Prazo_medio_de_recebimento;Liquidez_geral;Liquidez_reduzida;Solvabilidade;Autonomia_financeira;Endividamento;Estrutura_financeira;Passivo_de_curto_prazo_a_dividir_passivo_total;Custos_dos_encargos_financeiros_dividir_resultado_operacional;Rendibilidade_operacional_vendas;Rendibilidade_liquida_das_vendas;Rendibilidade_do_ativo;Rendibilidade_capitais_proprios;Passivo_curto_prazo_dividir_vendas;Peso_das_amortizacoes_dividir_vendas;Peso_encargos_financeiros_dividir_vendas;Produtividade_por_trabalhador;Certificacao_legal_contas;Insolvencia
1;14;141;126;10;0.257090777;2.508204643;0.135658612;0.381891325;0.163900779;-0.038922952;-0.124806948;555287;17.40394719;52.50533945;1.628595718;1.260585231;0.761385003;0.432264952;0.567735048;1.313395977;1;4.230817793;0.061592638;0.040805361;0.148378468;0.474345462;0.27515322;0.007326767;0.014558093;1.271579569;1;0
1;13;139;68;10;-0.026554177;2.907120743;0.07290964;0.008767878;0.061797109;0.025295391;0.106825659;1771522;5.431473285;117.6425497;2.438193363;1.684903582;2.270942035;0.694277676;0.305722324;0.440345894;1;0.221893618;0.034806885;0.004824247;0.006034432;0.008767878;0.17427551;0.03616231;0.15686294;2.153994341;1;0
1;14;141;66;10;0.179289088;2.91748637;-0.055734876;-0.105433814;-0.091664397;-0.21610411;-0.02843326;-635655;9.590591132;105.3979768;0.534721922;0.396806284;0.287364138;0.223219002;0.776780998;3.479905347;1;0.781812557;0.037756774;-0.005057995;-0.005196799;-0.020826545;0.397173831;0.018768815;0.048293895;1.159997994;1;0
1;14;141;100;7;1.695110918;3.576695953;0.783309475;-0.708470938;1.038122515;845.9912609;-0.512431049;21475;5.317258711;36.0401071;1.020988466;0.357919078;0.069020046;0.064563906;0.935437009;14.48854432;1;1.212634718;0.009918388;0.001038686;0.003425672;0.015468131;0.318892256;0.002016388;0.008179205;1.036314799;1;0
1;13;131;89;7;-0.068342519;3.595352539;0.03032033;-0.002228223;0.126116039;-0.110322593;-0.22421251;5487525;19.33326582;411.4839475;3.72523499;3.565850565;3.69109956;0.786830361;0.213169639;0.27092198;1;0.7070684;0.039421307;-0.002675051;-0.001757149;-0.002228223;0.194933358;0.095936801;0.055753173;1.767230724;1;0
1;14;141;66;10;0.539870809;5.46482662;-0.273097852;-0.133528103;-0.396147975;-0.560433736;0.16073899;169804;11.59631528;68.87673216;1.105623872;0.777515832;0.708415312;0.414662235;0.585337765;1.411601334;1;3.32397355;0.028681113;0.007187608;0.016007658;0.033449358;0.149958851;0.030932462;0.008628562;1.353166206;1;0
1;13;139;156;9;0.126328338;7.811167192;0.011285193;0.141788678;-0.127079122;0.077260791;0.27727075;-1030317;4.388647273;76.92746409;0.831797832;0.451206667;0.464925619;0.317371449;0.682628439;2.150881689;1;2.201911064;0.056847996;-0.084403478;-0.096235232;-0.34621986;0.195336757;0.026241273;0.025817571;0.834933919;1;0
5;13;131;66;6;0.295027102;14.7979645;0.057770488;0.664085975;0.514312588;0.184372086;-0.246281524;395689;20.83548065;67.309315;1.481685813;1.221946834;1.589027922;0.61375436;0.38624517;0.629315562;1;89.76963351;0.065566344;0.038446744;0.080364322;0.217893589;0.193315689;0.07539358;0.000730384;1.692412774;1;0
5;14;141;309;10;-0.261065684;-1.220944129;-0.134499069;-0.116973221;-0.14941732;-0.19923867;-0.048981212;5846380;7.579288048;96.3808139;1.770172471;1.217825818;1.114784889;0.527138668;0.472861332;0.897034047;0.999692757;-0.491339313;-0.003135726;0.000993677;0.001966464;0.003294086;0.199558456;0.017368681;0.006381997;1.133647116;1;0
1;13;132;103;10;-0.183090893;-9.342348729;-0.223110855;-0.302305116;-0.253747872;-0.018153311;-0.106773031;1491464;1.734352745;142.725807;1.649303881;0.776371124;1.163656749;0.537819481;0.462180519;0.859359945;0.997452328;-4.461253633;-0.203022923;-0.162627274;-0.113505104;-0.147246303;0.451601911;0.06063445;0.045508043;0.751017986;1;0
