id_match_api,dt_match,p_dt_match,id_match_status,id_match_competition,cd_season,cd_round,t1_all_total5_fl_match_win,t1_all_total5_fl_match_draw,t1_all_total5_fl_match_lost,t1_all_total10_fl_match_win,t1_all_total10_fl_match_draw,t1_all_total10_fl_match_lost,t2_all_total5_fl_match_win,t2_all_total5_fl_match_draw,t2_all_total5_fl_match_lost,t2_all_total10_fl_match_win,t2_all_total10_fl_match_draw,t2_all_total10_fl_match_lost,t1_home_total5_fl_match_win,t1_home_total5_fl_match_draw,t1_home_total5_fl_match_lost,t1_home_total10_fl_match_win,t1_home_total10_fl_match_draw,t1_home_total10_fl_match_lost,t2_away_total5_fl_match_win,t2_away_total5_fl_match_draw,t2_away_total5_fl_match_lost,t2_away_total10_fl_match_win,t2_away_total10_fl_match_draw,t2_away_total10_fl_match_lost,t1_h2h_total5_fl_match_win,t1_h2h_total5_fl_match_draw,t1_h2h_total5_fl_match_lost,t1_h2h_total10_fl_match_win,t1_h2h_total10_fl_match_draw,t1_h2h_total10_fl_match_lost,t2_h2h_total5_fl_match_win,t2_h2h_total5_fl_match_draw,t2_h2h_total5_fl_match_lost,t2_h2h_total10_fl_match_win,t2_h2h_total10_fl_match_draw,t2_h2h_total10_fl_match_lost,t1_h2h_home_total5_fl_match_win,t1_h2h_home_total5_fl_match_draw,t1_h2h_home_total5_fl_match_lost,t1_h2h_home_total10_fl_match_win,t1_h2h_home_total10_fl_match_draw,t1_h2h_home_total10_fl_match_lost,t2_h2h_away_total5_fl_match_win,t2_h2h_away_total5_fl_match_draw,t2_h2h_away_total5_fl_match_lost,t2_h2h_away_total10_fl_match_win,t2_h2h_away_total10_fl_match_draw,t2_h2h_away_total10_fl_match_lost,t1_fl_match_win
5043521,2022-05-23 01:00:00,2022-05-23,1,540,ec_ligapro_primera_a_2022,14,3,1,1,4,4,2,2,2,1,5,3,2,3,2,0,4,2,0,3,1,1,5,1,1,3,1,1,3,3,4,1,1,3,4,3,3,3,1,1,3,2,1,1,1,3,1,2,3,1
5043522,2022-05-23 01:00:00,2022-05-23,1,540,ec_ligapro_primera_a_2022,14,5,0,0,6,2,2,1,2,2,2,4,4,3,2,0,3,2,1,1,1,3,1,1,4,3,0,2,4,0,2,2,0,3,2,0,4,2,0,1,2,0,1,1,0,2,1,0,2,0
4725285,2022-05-22 22:00:00,2022-05-22,1,540,ec_ligapro_primera_a_2022,14,5,0,0,6,2,2,1,2,2,2,4,4,3,2,0,3,2,1,1,1,3,1,1,4,3,0,2,4,0,2,2,0,3,2,0,4,2,0,1,2,0,1,1,0,2,1,0,2,0
4725286,2022-05-22 22:00:00,2022-05-22,1,540,ec_ligapro_primera_a_2022,14,2,1,2,2,4,4,3,0,2,6,1,3,2,1,2,3,1,2,2,0,3,2,0,4,1,2,2,1,3,6,2,2,1,6,3,1,1,3,1,1,3,1,1,3,1,1,3,1,0
4725290,2022-05-22 22:00:00,2022-05-22,1,540,ec_ligapro_primera_a_2022,14,3,1,1,4,4,2,2,1,2,6,2,2,3,2,0,4,2,0,3,1,1,5,1,1,3,1,1,3,3,4,1,1,3,4,3,3,3,1,1,3,2,1,1,1,3,1,2,3,0
4725307,2022-05-22 22:00:00,2022-05-22,1,540,ec_ligapro_primera_a_2022,14,2,2,1,4,3,3,3,0,2,6,1,3,4,0,1,5,1,1,2,0,3,3,0,3,2,2,1,4,2,4,1,2,2,4,2,4,3,1,1,3,1,1,1,1,3,1,1,3,0
5034271,2022-05-22 21:00:00,2022-05-22,1,254,"co_primera_a_2021,_clausura",1,3,1,1,4,4,2,2,1,2,5,2,3,3,2,0,6,3,1,3,2,0,6,3,1,2,1,2,3,1,6,2,1,2,6,1,3,3,1,1,4,2,1,1,1,3,1,2,4,0
4997336,2022-05-22 20:00:00,2022-05-22,1,1069,eg_premier_league_21-22,20,1,2,2,1,4,5,3,1,1,6,1,3,1,1,3,3,3,4,4,0,1,6,2,1,1,1,3,3,2,5,3,1,1,5,2,3,2,1,2,2,1,2,2,1,2,2,1,2,1
5046001,2022-05-22 20:00:00,2022-05-22,1,881,"bo_division_profesional,_apertura_2022",16,1,3,1,2,5,3,4,0,1,8,0,2,1,3,1,2,3,2,3,1,1,4,1,2,3,1,1,4,1,5,1,1,3,5,1,4,4,0,1,5,2,1,1,0,4,1,2,5,0
4142551,2022-05-22 18:00:00,2022-05-22,1,215,tr_super_lig_21-22,38,2,3,0,4,4,2,2,3,0,3,6,1,2,1,2,6,1,3,1,3,1,4,4,2,1,3,1,4,5,1,1,3,1,1,5,4,2,2,1,3,3,1,1,2,2,1,3,3,1
